0,0
0.1,0
0.2,0.005
0.3,0.015
0.4,0.029925
0.5,0.049625
0.6,0.0738761
0.7,0.102383
0.8,0.134781
0.9,0.170644
1,0.209485
1.1,0.250767
1.2,0.293906
1.3,0.333284
1.4,0.368253
1.5,0.398223
1.6,0.422669
1.7,0.441142
1.8,0.453274
1.9,0.45879
2,0.457506
2.1,0.449341
2.2,0.434313
2.3,0.412545
2.4,0.384262
2.5,0.349791
2.6,0.309556
2.7,0.264074
2.8,0.213949
2.9,0.159863
3,0.102567
3.1,0.042874
3.2,-0.0183579
3.3,-0.0802329
3.4,-0.141833
3.5,-0.202229
3.6,-0.260497
3.7,-0.315733
3.8,-0.36706
3.9,-0.413652
4,-0.454738
4.1,-0.489619
4.2,-0.517679
4.3,-0.538395
4.4,-0.551346
4.5,-0.55622
4.6,-0.552825
4.7,-0.541086
4.8,-0.521055
4.9,-0.492907
5,-0.456944
5.1,-0.413587
5.2,-0.363376
5.3,-0.306961
5.4,-0.245095
5.5,-0.178625
5.6,-0.108479
5.7,-0.0356532
5.8,0.0387997
5.9,0.113787
6,0.188193
6.1,0.260892
6.2,0.330768
6.3,0.396731
6.4,0.457732
6.5,0.512782
6.6,0.560966
6.7,0.601459
6.8,0.633537
6.9,0.656593
7,0.670146
7.1,0.67385
7.2,0.667502
7.3,0.651046
7.4,0.624578
7.5,0.588344
7.6,0.542741
7.7,0.488313
7.8,0.425744
7.9,0.355851
8,0.279571
8.1,0.197953
8.2,0.112142
8.3,0.0233616
8.4,-0.067101
8.5,-0.157914
8.6,-0.24772
8.7,-0.335158
8.8,-0.41888
8.9,-0.497575
9,-0.569986
9.1,-0.634934
9.2,-0.691332
9.3,-0.738206
9.4,-0.77471
9.5,-0.800141
9.6,-0.813951
9.7,-0.815759
9.8,-0.805358
9.9,-0.78272
10,-0.748003
10.1,-0.701544
